policy,asset,t,w,u,v
g_mean,CMC200,49,2.2998414708649785e-08,6.775631983168477e-08,6.775631982686007e-08
g_mean,CMC200,50,2.2998414703025486e-08,6.77563198264806e-08,6.775631983209135e-08
g_mean,CMC200,51,2.2998414703791204e-08,6.775631982965189e-08,6.775631982889295e-08
g_mean,CMC200,52,2.2998414702029375e-08,6.775631982837795e-08,6.775631983013978e-08
g_mean,CMC200,53,2.29984147020226e-08,6.775631982927242e-08,6.775631982927242e-08
g_mean,CMC200,54,2.299841470365568e-08,6.775631983011268e-08,6.775631982845927e-08
g_mean,CMC200,55,2.2998414701975165e-08,6.775631982843216e-08,6.775631983011268e-08
g_mean,CMC200,56,2.2998414702124243e-08,6.775631982935374e-08,6.775631982921821e-08
g_mean,CMC200,57,2.2998414703716665e-08,6.775631983008557e-08,6.775631982848637e-08
g_mean,CMC200,58,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,59,2.2998414702070033e-08,6.775631982935374e-08,6.775631982924532e-08
g_mean,CMC200,60,2.2998414703716665e-08,6.775631983011268e-08,6.775631982845927e-08
g_mean,CMC200,61,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,62,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,63,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,64,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,65,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,66,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,67,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,68,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,69,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,70,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,71,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,72,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,73,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,74,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,75,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,76,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,77,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,78,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,79,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,80,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,81,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,82,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,83,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,84,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,85,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,86,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,87,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,88,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,89,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,90,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,91,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,92,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,93,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,94,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,95,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,96,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,97,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,98,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,99,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,100,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,101,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,102,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,103,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,104,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,105,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,106,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,107,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,108,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,109,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,110,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,111,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,112,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,113,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,114,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,115,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,116,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,117,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,118,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,119,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,120,2.2998414703716665e-08,6.775631983008557e-08,6.775631982845927e-08
g_mean,CMC200,121,2.2998414701975165e-08,6.775631982843216e-08,6.775631983016689e-08
g_mean,CMC200,122,2.2998414702070033e-08,6.775631982932663e-08,6.775631982924532e-08
g_mean,CMC200,123,2.2998414703716665e-08,6.775631983011268e-08,6.775631982845927e-08
