policy,t,turnover,cost_t,cost_acum
g_mean,151,1.2908782116155537e-17,1.3491856153932712e-09,0.0025002025080208103
g_mean,152,5.753047777751208e-18,1.3491856153933796e-09,0.0025002038572064255
g_mean,153,8.74138001566438e-19,1.3491856153932712e-09,0.0025002052063920407
g_mean,154,4.004771774618332e-18,1.3491856153932712e-09,0.002500206555577656
g_mean,155,2.3242584072658e-18,1.3491856153932712e-09,0.002500207904763271
g_mean,156,2.656295322589486e-18,1.3491856153932712e-09,0.0025002092539488864
g_mean,157,3.63207727782644e-18,1.3491856153932712e-09,0.0025002106031345016
g_mean,158,3.903127820947816e-18,1.3491856153932712e-09,0.002500211952320117
g_mean,159,4.980553729855286e-18,1.3491856153934881e-09,0.002500213301505732
g_mean,160,3.774378812965162e-18,1.3491856153930543e-09,0.0025002146506913473
g_mean,161,9.100521985300203e-18,1.3491856153930543e-09,0.0025002159998769626
g_mean,162,8.11118750290718e-18,1.3491856153933798e-09,0.0025002173490625778
g_mean,163,7.291259609965017e-18,1.3491856153932712e-09,0.002500218698248193
g_worst,1,0.9999997397348586,0.002499999979486134,0.002499999979486134
g_worst,2,1.0238899730883146e-07,3.3417966622244915e-09,0.002500003321282796
g_worst,3,4.448460866134747e-09,3.3606172664048683e-09,0.0025000066819000624
g_worst,4,2.7785898789342654e-10,3.3603935402637398e-09,0.0025000100422936026
g_worst,5,9.82350605889656e-11,3.3605537220294864e-09,0.0025000134028473247
g_worst,6,2.896477826601915e-10,3.360496751111052e-09,0.0025000167633440758
g_worst,7,9.501668132849694e-09,3.3598792400615965e-09,0.0025000201232233156
g_worst,8,1.7694321130459908e-07,3.4184666760487573e-09,0.0025000235416899916
g_worst,9,3.644831495248761e-08,3.3626085581791364e-09,0.00250002690429855
g_worst,10,7.844503424088564e-09,3.3606094437147813e-09,0.0025000302649079934
g_worst,11,1.3681770732359207e-09,3.3605538211706674e-09,0.0025000336254618147
g_worst,12,8.27666845107898e-11,3.360557309073017e-09,0.0025000369860191237
g_worst,13,8.822197218095497e-11,3.3605580605280136e-09,0.0025000403465771843
g_worst,14,6.71038071029667e-11,3.360558110989385e-09,0.002500043707135295
g_worst,15,3.52337301045072e-11,3.3605581048536676e-09,0.0025000470676934
g_worst,16,1.6307426139701778e-11,3.3605581019044213e-09,0.0025000504282515017
g_worst,17,7.098819145359703e-12,3.3605581011982803e-09,0.002500053788809603
g_worst,18,2.983352172074294e-12,3.360558101059936e-09,0.002500057149367704
g_worst,19,1.2258925970697054e-12,3.360558101035325e-09,0.002500060509925805
g_worst,20,4.960542610357721e-13,3.3605581010312048e-09,0.0025000638704839057
g_worst,21,1.9845754271712035e-13,3.360558101030554e-09,0.0025000672310420066
g_worst,22,7.878452664561442e-14,3.3605581010301203e-09,0.0025000705916001075
g_worst,23,3.09670366606396e-14,3.360558101030554e-09,0.0025000739521582084
g_worst,24,1.2182041399938504e-14,3.360558101030554e-09,0.0025000773127163093
g_worst,25,4.677654747917148e-15,3.360558101030554e-09,0.00250008067327441
g_worst,26,1.8331419281841788e-15,3.360558101030337e-09,0.002500084033832511
g_worst,27,8.025535531280825e-16,3.360558101030229e-09,0.002500087394390612
g_worst,28,2.492851845087296e-16,3.360558101030554e-09,0.002500090754948713
g_worst,29,1.2340931228316254e-16,3.3605581010306625e-09,0.0025000941155068138
g_worst,30,1.6479873021779667e-16,3.3605581010303375e-09,0.0025000974760649147
g_worst,31,1.286405877654051e-16,3.3605581010302287e-09,0.0025001008366230155
g_worst,32,7.887570804832045e-18,3.3605581010303375e-09,0.0025001041971811164
g_worst,33,2.5126385347351565e-17,3.360558101030337e-09,0.0025001075577392173
g_worst,34,1.2088854223213374e-17,3.360558101030229e-09,0.0025001109182973182
g_worst,35,5.1228552649940085e-18,3.360558101030446e-09,0.002500114278855419
g_worst,36,2.9192143494172207e-17,3.3605581010302287e-09,0.00250011763941352
g_worst,37,1.2048196641745168e-16,3.360558101030337e-09,0.002500120999971621
g_worst,38,1.5360434278688384e-16,3.360558101030771e-09,0.002500124360529722
g_worst,39,1.4907779871675686e-18,3.3605581010304454e-09,0.0025001277210878227
