asset,setup,t,w
CMC200,rollout,9,0.9999999736526116
CMC200,rollout,10,0.9999999736528175
CMC200,rollout,11,0.9999999736538309
CMC200,rollout,12,0.9999999736542595
CMC200,rollout,13,0.9999999736544125
CMC200,rollout,14,0.999999973654466
CMC200,rollout,15,0.9999999736544849
CMC200,rollout,16,0.9999999736544916
CMC200,rollout,17,0.9999999736544941
CMC200,rollout,18,0.999999973654495
CMC200,rollout,19,0.9999999736544953
CMC200,rollout,20,0.9999999736544954
CMC200,rollout,21,0.9999999736544954
CMC200,rollout,22,0.9999999736544954
CMC200,rollout,23,0.9999999736544954
CMC200,rollout,24,0.9999999736544954
CMC200,rollout,25,0.9999999736544954
CMC200,rollout,26,0.9999999736544954
CMC200,rollout,27,0.9999999736544954
CMC200,rollout,28,0.9999999736544954
CMC200,rollout,29,0.9999999736544954
CMC200,rollout,30,0.9999999736544954
CMC200,rollout,31,0.9999999736544954
CMC200,rollout,32,0.9999999736544954
CMC200,rollout,33,0.9999999736544954
CMC200,rollout,34,0.9999999736544954
CMC200,rollout,35,0.9999999736544954
CMC200,rollout,36,0.9999999736544954
CMC200,rollout,37,0.9999999736544954
CMC200,rollout,38,0.9999999736544954
CMC200,rollout,39,0.9999999736544954
CMC200,rollout,40,0.9999999736544954
CMC200,rollout,41,0.9999999736544954
CMC200,rollout,42,0.9999999736544954
CMC200,rollout,43,0.9999999736544954
CMC200,rollout,44,0.9999999736544954
CMC200,rollout,45,0.9999999736544954
CMC200,rollout,46,0.9999999736544954
CMC200,rollout,47,0.9999999736544954
CMC200,rollout,48,0.9999999736544954
CMC200,rollout,49,0.9999999736544954
CMC200,rollout,50,0.9999999736544954
CMC200,rollout,51,0.9999999736544954
CMC200,rollout,52,0.9999999736544954
CMC200,rollout,53,0.9999999736544954
CMC200,rollout,54,0.9999999736544954
CMC200,rollout,55,0.9999999736544954
CMC200,rollout,56,0.9999999736544954
CMC200,rollout,57,0.9999999736544954
CMC200,rollout,58,0.9999999736544954
CMC200,rollout,59,0.9999999736544954
CMC200,rollout,60,0.9999999736544954
CMC200,rollout,61,0.9999999736544954
CMC200,rollout,62,0.9999999736544954
CMC200,rollout,63,0.9999999736544954
CMC200,rollout,64,0.9999999736544954
CMC200,rollout,65,0.9999999736544954
CMC200,rollout,66,0.9999999736544954
CMC200,rollout,67,0.9999999736544954
CMC200,rollout,68,0.9999999736544954
CMC200,rollout,69,0.9999999736544954
CMC200,rollout,70,0.9999999736544954
CMC200,rollout,71,0.9999999736544954
CMC200,rollout,72,0.9999999736544954
CMC200,rollout,73,0.9999999736544954
CMC200,rollout,74,0.9999999736544954
CMC200,rollout,75,0.9999999736544954
CMC200,rollout,76,0.9999999736544954
CMC200,rollout,77,0.9999999736544954
CMC200,rollout,78,0.9999999736544954
CMC200,rollout,79,0.9999999736544954
CMC200,rollout,80,0.9999999736544954
CMC200,rollout,81,0.9999999736544954
CMC200,rollout,82,0.9999999736544954
CMC200,rollout,83,0.9999999736544954
CMC200,rollout,84,0.9999999736544954
CMC200,rollout,85,0.9999999736544954
CMC200,rollout,86,0.9999999736544954
CMC200,rollout,87,0.9999999736544954
CMC200,rollout,88,0.9999999736544954
CMC200,rollout,89,0.9999999736544954
CMC200,rollout,90,0.9999999736544954
CMC200,rollout,91,0.9999999736544954
CMC200,rollout,92,0.9999999736544954
CMC200,rollout,93,0.9999999736544954
CMC200,rollout,94,0.9999999736544954
CMC200,rollout,95,0.9999999736544954
CMC200,rollout,96,0.9999999736544954
CMC200,rollout,97,0.9999999736544954
CMC200,rollout,98,0.9999999736544954
CMC200,rollout,99,0.9999999736544954
CMC200,rollout,100,0.9999999736544954
CMC200,rollout,101,0.9999999736544954
CMC200,rollout,102,0.9999999736544954
CMC200,rollout,103,0.9999999736544954
CMC200,rollout,104,0.9999999736544954
CMC200,rollout,105,0.9999999736544954
CMC200,rollout,106,0.9999999736544954
CMC200,rollout,107,0.9999999736544954
CMC200,rollout,108,0.9999999736544954
CMC200,rollout,109,0.9999999736544954
CMC200,rollout,110,0.9999999736544954
CMC200,rollout,111,0.9999999736544954
CMC200,rollout,112,0.9999999736544954
CMC200,rollout,113,0.9999999736544954
CMC200,rollout,114,0.9999999736544954
CMC200,rollout,115,0.9999999736544954
CMC200,rollout,116,0.9999999736544954
CMC200,rollout,117,0.9999999736544954
CMC200,rollout,118,0.9999999736544954
CMC200,rollout,119,0.9999999736544954
CMC200,rollout,120,0.9999999736544954
CMC200,rollout,121,0.9999999736544954
CMC200,rollout,122,0.9999999736544954
CMC200,rollout,123,0.9999999736544954
CMC200,rollout,124,0.9999999736544954
CMC200,rollout,125,0.9999999736544954
CMC200,rollout,126,0.9999999736544954
CMC200,rollout,127,0.9999999736544954
CMC200,rollout,128,0.9999999736544954
CMC200,rollout,129,0.9999999736544954
CMC200,rollout,130,0.9999999736544954
CMC200,rollout,131,0.9999999736544954
CMC200,rollout,132,0.9999999736544954
CMC200,rollout,133,0.9999999736544954
CMC200,rollout,134,0.9999999736544954
CMC200,rollout,135,0.9999999736544954
CMC200,rollout,136,0.9999999736544954
CMC200,rollout,137,0.9999999736544954
CMC200,rollout,138,0.9999999736544954
CMC200,rollout,139,0.9999999736544954
CMC200,rollout,140,0.9999999736544954
CMC200,rollout,141,0.9999999736544954
CMC200,rollout,142,0.9999999736544954
CMC200,rollout,143,0.9999999736544954
CMC200,rollout,144,0.9999999736544954
CMC200,rollout,145,0.9999999736544954
CMC200,rollout,146,0.9999999736544954
CMC200,rollout,147,0.9999999736544954
CMC200,rollout,148,0.9999999736544954
CMC200,rollout,149,0.9999999736544954
CMC200,rollout,150,0.9999999736544954
