policy,asset,t,w
OPT,CMC200,62,0.18865561389524407
OPT,CMC200,63,0.18865542060242527
OPT,CMC200,64,0.18865526828441123
OPT,CMC200,65,0.18865518200942863
OPT,CMC200,66,0.18865519507227216
OPT,CMC200,67,0.18865532159451598
OPT,CMC200,68,0.18865553066082488
OPT,CMC200,69,0.1886558987391358
OPT,CMC200,70,0.18865674383164482
OPT,CMC200,71,0.18865962501391312
OPT,CMC200,72,0.19755966209753942
OPT,CMC200,73,0.19756008221695984
OPT,CMC200,74,0.19756031608578126
OPT,CMC200,75,0.19756047864506493
OPT,CMC200,76,0.19756071453303153
OPT,CMC200,77,0.1975610235000136
OPT,CMC200,78,0.19756095488216463
OPT,CMC200,79,0.19756066779710513
OPT,CMC200,80,0.19756014989498016
OPT,CMC200,81,0.1975594275674644
OPT,CMC200,82,0.1975587473263967
OPT,CMC200,83,0.19755821377206184
OPT,CMC200,84,0.19755782300129227
OPT,CMC200,85,0.19755760075009896
OPT,CMC200,86,0.1975574776066672
OPT,CMC200,87,0.19755733367200998
OPT,CMC200,88,0.19755718319285595
OPT,CMC200,89,0.1975570627157542
OPT,CMC200,90,0.19755697397568295
OPT,CMC200,91,0.19755685702376496
OPT,CMC200,92,0.1975567377651446
OPT,CMC200,93,0.1975566454479681
OPT,CMC200,94,0.19755662053225964
OPT,CMC200,95,0.1975566680539651
OPT,CMC200,96,0.19755675470689174
OPT,CMC200,97,0.19755685317464422
OPT,CMC200,98,0.1975569886223373
OPT,CMC200,99,0.19755685930681202
OPT,CMC200,100,0.1975565581509184
OPT,CMC200,101,0.19755625453534964
OPT,CMC200,102,0.1975560726218656
OPT,CMC200,103,0.19755590477765755
OPT,CMC200,104,0.1975557479199451
OPT,CMC200,105,0.19755565923210297
OPT,CMC200,106,0.1975556421243177
OPT,CMC200,107,0.19755566044347445
OPT,CMC200,108,0.1975557268421127
OPT,CMC200,109,0.1975558237102636
OPT,CMC200,110,0.19755601735079936
OPT,CMC200,111,0.19755625683093206
OPT,CMC200,112,0.1975566351705421
OPT,CMC200,113,0.19755652872483687
OPT,CMC200,114,0.19755649719948473
OPT,CMC200,115,0.1975564827004537
OPT,CMC200,116,0.19755651770508328
OPT,CMC200,117,0.19755632116686794
OPT,CMC200,118,0.1975560863848308
OPT,CMC200,119,0.176144884689321
OPT,CMC200,120,0.17614099245457412
OPT,CMC200,121,0.17613314148333403
OPT,CMC200,122,0.17218388998477233
OPT,CMC200,123,0.17217852981716333
OPT,CMC200,124,0.17217654184188788
OPT,CMC200,125,0.16673159811910582
OPT,CMC200,126,0.16669995553716932
OPT,CMC200,127,0.1666971761222695
OPT,CMC200,128,0.16669571451453236
OPT,CMC200,129,0.16669479572929224
OPT,CMC200,130,0.16669414616852898
OPT,CMC200,131,0.16669354316837615
OPT,CMC200,132,0.1666931226552443
OPT,CMC200,133,0.1666928364206885
OPT,CMC200,134,0.16669266150269335
OPT,CMC200,135,0.1666925692090295
OPT,CMC200,136,0.1666248522077316
OPT,CMC200,137,0.16637761539424084
OPT,CMC200,138,0.16637278388677285
OPT,CMC200,139,0.1663682909083119
OPT,CMC200,140,0.1663666222556821
OPT,CMC200,141,0.1663657518768033
OPT,CMC200,142,0.16636529002273792
OPT,CMC200,143,0.16636499863819662
OPT,CMC200,144,0.16636482016098822
OPT,CMC200,145,0.16636472124957447
OPT,CMC200,146,0.15664614653068687
OPT,CMC200,147,0.15664037047154944
OPT,CMC200,148,0.1566377159934994
OPT,CMC200,149,0.1566355450489041
OPT,CMC200,150,0.1566341594403558
OPT,CMC200,151,0.1566330997569766
OPT,CMC200,152,0.15663239962677591
OPT,CMC200,153,0.15663195943965352
OPT,CMC200,154,0.15663163492286913
OPT,CMC200,155,0.15663132594076098
OPT,CMC200,156,0.15663094351521042
OPT,CMC200,157,0.15663069836516122
OPT,CMC200,158,0.15663052914307926
OPT,CMC200,159,0.15663043377482527
OPT,CMC200,160,0.15663031104478933
OPT,CMC200,161,0.15663014069034253
OPT,CMC200,162,0.15663002806028709
OPT,CMC200,163,0.15662997437297935
