scenario,t,RG,OPT,Naive
4,92,38640.6015625,21848.666015625,27025.98046875
4,93,35410.66796875,20637.4765625,25239.736328125
4,94,33858.96875,20095.888671875,24409.4453125
4,95,32503.076171875,19720.24609375,23755.892578125
4,96,31325.751953125,19396.62890625,23187.91015625
4,97,30239.244140625,19085.435546875,22652.2890625
4,98,32823.703125,20192.39453125,24199.724609375
4,99,32196.111328125,20180.595703125,24015.81640625
4,100,31609.544921875,20041.32421875,23747.208984375
4,101,32747.888671875,20508.04296875,24413.6640625
4,102,32158.666015625,20438.697265625,24196.10546875
4,103,31295.39453125,20114.873046875,23712.005859375
4,104,30320.486328125,19785.5078125,23191.111328125
4,105,30160.65234375,19783.716796875,23143.5390625
4,106,31213.515625,20235.16015625,23776.6796875
4,107,28189.130859375,19129.302734375,22097.03125
4,108,28397.203125,19179.857421875,22194.73046875
4,109,29320.095703125,19623.19140625,22785.94140625
4,110,30421.21875,20050.583984375,23417.15234375
4,111,27489.662109375,19042.96484375,21831.5625
4,112,30225.1171875,20191.48046875,23469.548828125
4,113,29788.544921875,20222.8671875,23363.92578125
4,114,29332.50390625,20118.775390625,23153.80859375
4,115,28513.724609375,19760.42578125,22652.869140625
4,116,31295.0703125,20958.947265625,24340.58984375
4,117,28500.330078125,19813.115234375,22690.751953125
4,118,29209.857421875,20329.9296875,23272.41796875
4,119,32365.076171875,21520.125,25067.181640625
4,120,33639.2578125,21984.96484375,25784.705078125
4,121,30471.05078125,21082.4296875,24185.44921875
4,122,33946.984375,22384.228515625,26174.55859375
4,123,31023.453125,21184.810546875,24433.720703125
4,124,34145.80859375,22466.564453125,26299.07421875
4,125,38280.2734375,23760.1953125,28472.408203125
4,126,43425.34375,25244.44140625,31067.861328125
4,127,42321.39453125,24762.82421875,30396.015625
4,128,40911.08203125,24176.60546875,29558.658203125
4,129,41966.46875,24769.0390625,30298.201171875
4,130,46858.75390625,26197.51953125,32756.921875
4,131,42872.48828125,24967.603515625,30717.578125
4,132,47531.7109375,26476.2890625,33164.48046875
4,133,49409.7578125,27058.6171875,34125.43359375
4,134,48848.4921875,27020.60546875,33941.10546875
4,135,50494.765625,27645.166015625,34868.8359375
4,136,56726.59375,29297.955078125,37837.8671875
4,137,55299.76953125,28876.685546875,37130.11328125
4,138,56906.00390625,29568.30859375,38094.875
4,139,56132.21875,29601.861328125,37912.65234375
4,140,54753.0859375,29143.099609375,37186.91796875
4,141,54401.03125,29156.408203125,37101.0234375
4,142,53858.171875,29157.50390625,36953.12890625
4,143,59410.56640625,30860.365234375,39769.9140625
4,144,54016.0703125,29283.39453125,37103.234375
4,145,49269.3671875,27870.935546875,34722.5859375
4,146,45246.203125,26034.861328125,32214.984375
4,147,42462.984375,23980.91796875,29901.45703125
4,148,42390.13671875,24175.5078125,30023.986328125
4,149,44933.37109375,25293.005859375,31579.583984375
4,150,43588.4140625,24845.451171875,30862.86328125
4,151,47595.78515625,26220.091796875,33028.875
4,152,46938.875,26271.82421875,32881.13671875
4,153,45645.15234375,25707.6484375,32093.234375
4,154,47002.7734375,26296.052734375,32917.04296875
4,155,48805.27734375,26857.552734375,33846.89453125
4,156,54343.2265625,28408.640625,36566.8671875
4,157,53375.640625,28438.947265625,36323.88671875
4,158,60289.83203125,30147.24609375,39529.76171875
4,159,58755.6640625,29742.23828125,38804.66015625
4,160,57026.7734375,29167.640625,37894.7265625
4,161,63093.23828125,30891.966796875,40861.69140625
4,162,61419.3828125,30495.205078125,40108.34765625
4,163,63298.28515625,31216.388671875,41169.8359375
