asset,setup,t,w
SPX,rollout+psign,154,0.9999999770015854
SPX,rollout+psign,155,0.9999999770015854
SPX,rollout+psign,156,0.9999999770015854
SPX,rollout+psign,157,0.9999999770015854
SPX,rollout+psign,158,0.9999999770015854
SPX,rollout+psign,159,0.9999999770015854
SPX,rollout+psign,160,0.9999999770015854
SPX,rollout+psign,161,0.9999999770015854
SPX,rollout+psign,162,0.9999999770015854
SPX,rollout+psign,163,0.9999999770015854
SPX,scenarios+psign,1,0.9999999987263428
SPX,scenarios+psign,2,0.9999999976457564
SPX,scenarios+psign,3,0.9999999968015538
SPX,scenarios+psign,4,0.9999999984736696
SPX,scenarios+psign,5,0.9999999979370461
SPX,scenarios+psign,6,0.9999999979689176
SPX,scenarios+psign,7,0.9999999981913265
SPX,scenarios+psign,8,0.9999999974225977
SPX,scenarios+psign,9,0.999999997665768
SPX,scenarios+psign,10,0.9999999972958736
SPX,scenarios+psign,11,0.9999999978247145
SPX,scenarios+psign,12,0.9999999982426769
SPX,scenarios+psign,13,0.9999999970837579
SPX,scenarios+psign,14,0.9999999978300377
SPX,scenarios+psign,15,0.9999999980982933
SPX,scenarios+psign,16,0.9999999976675693
SPX,scenarios+psign,17,0.9999999981834415
SPX,scenarios+psign,18,0.9999999976681211
SPX,scenarios+psign,19,0.9999999976034176
SPX,scenarios+psign,20,0.9999999981952642
SPX,scenarios+psign,21,0.9999999983273274
SPX,scenarios+psign,22,0.9999999978257789
SPX,scenarios+psign,23,0.9999999979098823
SPX,scenarios+psign,24,0.9999999978001134
SPX,scenarios+psign,25,0.9999999973620504
SPX,scenarios+psign,26,0.9999999980064276
SPX,scenarios+psign,27,0.9999999982308587
SPX,scenarios+psign,28,0.9999999967608585
SPX,scenarios+psign,29,0.9999999968174912
SPX,scenarios+psign,30,0.9999999982564545
SPX,scenarios+psign,31,0.9999999973823452
SPX,scenarios+psign,32,0.9999999973706363
SPX,scenarios+psign,33,0.9999999975124048
SPX,scenarios+psign,34,0.9999999982094933
SPX,scenarios+psign,35,0.9999999983147759
SPX,scenarios+psign,36,0.9999999978226994
SPX,scenarios+psign,37,0.9999999979943966
SPX,scenarios+psign,38,0.999999997905843
SPX,scenarios+psign,39,0.9999999976956062
SPX,scenarios+psign,40,0.9999999966783263
SPX,scenarios+psign,41,0.9999999981230385
SPX,scenarios+psign,42,0.9999999970740208
SPX,scenarios+psign,43,0.9999999983156198
SPX,scenarios+psign,44,0.9999999981271263
SPX,scenarios+psign,45,0.9999999980513088
SPX,scenarios+psign,46,0.9999999978894073
SPX,scenarios+psign,47,0.9999999977638674
SPX,scenarios+psign,48,0.9999999980832616
SPX,scenarios+psign,49,0.9999999976606192
SPX,scenarios+psign,50,0.9999999982637955
SPX,scenarios+psign,51,0.9999999968025274
SPX,scenarios+psign,52,0.9999999977429842
SPX,scenarios+psign,53,0.9999999973873703
SPX,scenarios+psign,54,0.9999999981357383
SPX,scenarios+psign,55,0.9999999982677431
SPX,scenarios+psign,56,0.9999999963794002
SPX,scenarios+psign,57,0.9999999985291468
SPX,scenarios+psign,58,0.9999999969705122
SPX,scenarios+psign,59,0.9999999980386105
SPX,scenarios+psign,60,0.9999999976584194
SPX,scenarios+psign,61,0.9999999981556714
SPX,scenarios+psign,62,0.9999999980613085
SPX,scenarios+psign,63,0.9999999968855785
SPX,scenarios+psign,64,0.9999999977894417
SPX,scenarios+psign,65,0.9999999978301366
SPX,scenarios+psign,66,0.9999999965317313
SPX,scenarios+psign,67,0.9999999976531911
SPX,scenarios+psign,68,0.9999999983324597
SPX,scenarios+psign,69,0.9999999975629175
SPX,scenarios+psign,70,0.9999999973855133
SPX,scenarios+psign,71,0.9999999976767822
SPX,scenarios+psign,72,0.9999999973409942
SPX,scenarios+psign,73,0.9999999978583946
SPX,scenarios+psign,74,0.9999999978880653
SPX,scenarios+psign,75,0.9999999977899666
SPX,scenarios+psign,76,0.999999997733397
SPX,scenarios+psign,77,0.9999999965191232
SPX,scenarios+psign,78,0.9999999974520163
SPX,scenarios+psign,79,0.999999997527969
SPX,scenarios+psign,80,0.9999999976644794
SPX,scenarios+psign,81,0.9999999980536457
SPX,scenarios+psign,82,0.9999999979428531
SPX,scenarios+psign,83,0.9999999973924543
SPX,scenarios+psign,84,0.9999999974372638
SPX,scenarios+psign,85,0.9999999981433482
SPX,scenarios+psign,86,0.9999999950322297
SPX,scenarios+psign,87,0.9999999982621293
SPX,scenarios+psign,88,0.999999997788436
SPX,scenarios+psign,89,0.9999999986066856
SPX,scenarios+psign,90,0.9999999980682972
SPX,scenarios+psign,91,0.999999997964356
SPX,scenarios+psign,92,0.9999999980074578
SPX,scenarios+psign,93,0.999999998542024
SPX,scenarios+psign,94,0.9999999970027255
SPX,scenarios+psign,95,0.9999999979991935
SPX,scenarios+psign,96,0.9999999970595634
SPX,scenarios+psign,97,0.9999999982920131
