setup,t,RG_cap
scenarios+psign,153,11691.652995429069
scenarios+psign,154,11716.412091026346
scenarios+psign,155,12005.002357251271
scenarios+psign,156,12094.820094781051
scenarios+psign,157,12133.424649870582
scenarios+psign,158,11947.352159533435
scenarios+psign,159,12165.586610652554
scenarios+psign,160,12307.120782997363
scenarios+psign,161,12436.532810044968
scenarios+psign,162,12607.34534932511
scenarios+psign,163,12779.061688606
