asset,setup,t,mu_mix_pct
SPX,scenarios+psign,60,0.14574266970157623
SPX,scenarios+psign,61,0.13107545673847198
SPX,scenarios+psign,62,0.09807432070374489
SPX,scenarios+psign,63,0.2154117450118065
SPX,scenarios+psign,64,0.10907482355833054
SPX,scenarios+psign,65,0.15307646244764328
SPX,scenarios+psign,66,0.2520795911550522
SPX,scenarios+psign,67,0.2154117450118065
SPX,scenarios+psign,68,0.07974039763212204
SPX,scenarios+psign,69,0.17141038551926613
SPX,scenarios+psign,70,0.20441152155399323
SPX,scenarios+psign,71,0.15307646244764328
SPX,scenarios+psign,72,0.16407668590545654
SPX,scenarios+psign,73,0.1494094729423523
SPX,scenarios+psign,74,0.17507709562778473
SPX,scenarios+psign,75,0.17874380573630333
SPX,scenarios+psign,76,0.13107545673847198
SPX,scenarios+psign,77,0.29241451993584633
SPX,scenarios+psign,78,0.16774339601397514
SPX,scenarios+psign,79,0.09074090048670769
SPX,scenarios+psign,80,0.12007523328065872
SPX,scenarios+psign,81,0.16407668590545654
SPX,scenarios+psign,82,0.14207595959305763
SPX,scenarios+psign,83,0.24841288104653358
SPX,scenarios+psign,84,0.20441152155399323
SPX,scenarios+psign,85,0.12740874662995338
SPX,scenarios+psign,86,0.28141411021351814
SPX,scenarios+psign,87,0.10907482355833054
SPX,scenarios+psign,88,0.1494094729423523
SPX,scenarios+psign,89,0.09074090048670769
SPX,scenarios+psign,90,0.07240688428282738
SPX,scenarios+psign,91,0.10907482355833054
SPX,scenarios+psign,92,0.14207595959305763
SPX,scenarios+psign,93,0.03573903813958168
SPX,scenarios+psign,94,0.1824106089770794
SPX,scenarios+psign,95,0.09807432070374489
SPX,scenarios+psign,96,0.13840924948453903
SPX,scenarios+psign,97,0.15307646244764328
SPX,scenarios+psign,98,0.17141038551926613
SPX,scenarios+psign,99,0.1494094729423523
SPX,scenarios+psign,100,0.16040997579693794
SPX,scenarios+psign,101,0.24841288104653358
SPX,scenarios+psign,102,0.14574266970157623
SPX,scenarios+psign,103,0.1164083369076252
SPX,scenarios+psign,104,0.09807432070374489
SPX,scenarios+psign,105,0.19707782194018364
SPX,scenarios+psign,106,0.18974430859088898
SPX,scenarios+psign,107,0.17874380573630333
SPX,scenarios+psign,108,0.10540811344981194
SPX,scenarios+psign,109,0.16040997579693794
SPX,scenarios+psign,110,0.10540811344981194
SPX,scenarios+psign,111,0.16774339601397514
SPX,scenarios+psign,112,0.20074453204870224
SPX,scenarios+psign,113,0.15674317255616188
SPX,scenarios+psign,114,0.20074453204870224
SPX,scenarios+psign,115,0.10907482355833054
SPX,scenarios+psign,116,0.09807432070374489
SPX,scenarios+psign,117,0.19707782194018364
SPX,scenarios+psign,118,0.18607759848237038
SPX,scenarios+psign,119,0.2080783247947693
SPX,scenarios+psign,120,0.14574266970157623
SPX,scenarios+psign,121,0.13474253937602043
SPX,scenarios+psign,122,0.16774339601397514
SPX,scenarios+psign,123,0.07240688428282738
SPX,scenarios+psign,124,0.24841288104653358
SPX,scenarios+psign,125,0.12740874662995338
SPX,scenarios+psign,126,0.12374203652143478
SPX,scenarios+psign,127,0.16774339601397514
SPX,scenarios+psign,128,0.12374203652143478
SPX,scenarios+psign,129,0.1127416267991066
SPX,scenarios+psign,130,0.10540811344981194
SPX,scenarios+psign,131,0.20441152155399323
SPX,scenarios+psign,132,0.20441152155399323
SPX,scenarios+psign,133,0.2337457612156868
SPX,scenarios+psign,134,0.2117450349032879
