setup,t,costo_t,costo_acum
legacy,87,0.0008263010598020268,0.003495745725933734
legacy,88,1.1784709469034402e-08,0.003495757510643203
legacy,89,8.6114480441466e-09,0.0034957661220912472
legacy,90,7.029715572695758e-05,0.003566063277818205
legacy,91,1.5867547598179274e-08,0.0035660791453658034
legacy,92,8.998817712070231e-09,0.0035660881441835156
legacy,93,8.67056513716284e-09,0.0035660968147486526
legacy,94,1.2160211814489341e-08,0.003566108974960467
legacy,95,0.0006393938331436146,0.004205502808104082
legacy,96,1.6879163412913114e-08,0.004205519687267495
legacy,97,8.754431001741612e-09,0.004205528441698497
legacy,98,6.337808450424445e-05,0.004268906526202741
legacy,99,1.2561826634044077e-08,0.004268919088029376
legacy,100,8.523468859447997e-09,0.004268927611498235
legacy,101,1.0489567778676832e-08,0.004268938101066014
legacy,102,0.0003969859977965471,0.004665924098862561
legacy,103,9.630420679928879e-09,0.00466593372928324
legacy,104,9.909972589305364e-09,0.004665943639255829
legacy,105,2.8483957518108867e-05,0.004694427596773939
legacy,106,1.0031597477647943e-08,0.004694437628371417
legacy,107,9.520137673528183e-09,0.0046944471485090905
legacy,108,4.5517160331308795e-05,0.0047399643088404
legacy,109,1.0049595343020025e-08,0.004739974358435743
legacy,110,9.407384786960986e-09,0.00473998376582053
legacy,111,9.42338388073122e-09,0.0047399931892044105
legacy,112,0.00013074580786881217,0.004870738997073223
legacy,113,1.0244291946519974e-08,0.00487074924136517
legacy,114,8.590137381613251e-09,0.004870757831502552
legacy,115,1.8417796101825484e-08,0.004870776249298653
legacy,116,8.65085270794498e-09,0.004870784900151361
legacy,117,9.952095760194973e-09,0.004870794852247121
legacy,118,0.0003445109470027048,0.005215305799249826
legacy,119,1.339984124234465e-08,0.005215319199091069
legacy,120,8.91891105219703e-09,0.005215328118002121
legacy,121,1.031771696035304e-05,0.005225645834962474
legacy,122,1.6191710038816338e-08,0.005225662026672513
legacy,123,8.64581426173241e-09,0.005225670672486775
legacy,124,0.00039738455869352393,0.005623055231180299
legacy,125,3.6075098238128263e-06,0.0056266627410041115
legacy,126,5.427740556854286e-08,0.00562671701840968
legacy,127,1.823145930423982e-08,0.005626735249868984
legacy,128,1.1528985946961544e-08,0.005626746778854931
legacy,129,9.486377998429946e-09,0.0056267562652329295
legacy,130,1.0523265084296973e-08,0.0056267667884980135
legacy,131,3.0587095053972323e-07,0.005627072659448553
legacy,132,2.2942521309809638e-07,0.005627302084661652
legacy,133,1.686579384305432e-07,0.005627470742600082
legacy,134,1.227893580424243e-07,0.005627593531958124
legacy,135,8.76817819977144e-08,0.005627681213740122
legacy,136,2.0664542117847005e-08,0.00562770187828224
legacy,137,1.1097981012035609e-08,0.005627712976263252
legacy,138,1.0132018688208145e-08,0.00562772310828194
legacy,139,9.42155452717261e-09,0.005627732529836467
legacy,140,8.553910638893716e-09,0.005627741083747106
legacy,141,9.340813937849283e-09,0.005627750424561043
legacy,142,1.4269096611268805e-08,0.005627764693657654
legacy,143,0.000888414373973352,0.006516179067631006
legacy,144,1.213272619786395e-08,0.006516191200357204
legacy,145,8.652433211476168e-09,0.006516199852790416
legacy,146,8.984007538386227e-09,0.006516208836797955
legacy,147,1.8111474539634832e-08,0.006516226948272494
legacy,148,9.144046658468822e-09,0.006516236092319153
legacy,149,8.602010484117714e-09,0.006516244694329637
legacy,150,1.1869379196167079e-08,0.006516256563708834
legacy,151,0.000585875724468801,0.007102132288177635
legacy,152,1.8130386666713812e-08,0.007102150418564302
legacy,153,1.0415342020777468e-08,0.007102160833906323
legacy,154,8.745586393749706e-09,0.007102169579492717
legacy,155,8.992285424713276e-06,0.007111161864917431
legacy,156,3.120001249532695e-08,0.007111193064929926
legacy,157,1.0430602238341798e-08,0.007111203495532165
legacy,158,8.500889941836801e-09,0.007111211996422106
legacy,159,0.00026915583230853403,0.00738036782873064
legacy,160,1.070817732216087e-06,0.007381438646462856
legacy,161,2.7390968776890244e-07,0.007381712556150625
legacy,162,1.6906615698218675e-08,0.007381729462766324
legacy,163,9.472839078726618e-09,0.007381738935605403
opt_base,1,0.0003199014528551368,0.0003199014528551368
opt_base,2,6.419887413025741e-09,0.0003199078727425498
opt_base,3,1.4216313659114713e-08,0.0003199220890562089
opt_base,4,2.181175876686939e-08,0.0003199439008149758
opt_base,5,1.5724991237534474e-07,0.0003201011507273511
opt_base,6,1.4428413513578392e-07,0.0003202454348624869
opt_base,7,7.191221579060435e-09,0.0003202526260840659
opt_base,8,1.120273459768836e-08,0.0003202638288186636
opt_base,9,1.3895699291585218e-08,0.0003202777245179552
opt_base,10,4.3079969382134426e-07,0.00032070852421177653
opt_base,11,7.0945055368091e-05,0.00039165357957986755
opt_base,12,0.0006266026000052742,0.0010182561795851418
opt_base,13,2.8770313842473378e-08,0.0010182849498989843
opt_base,14,7.087988883841993e-09,0.001018292037887868
opt_base,15,4.768733369485421e-09,0.0010182968066212376
opt_base,16,3.475306332143626e-09,0.0010183002819275698
opt_base,17,3.4801336244164203e-09,0.0010183037620611942
opt_base,18,3.467734893852166e-09,0.0010183072297960882
opt_base,19,3.978625443665099e-09,0.0010183112084215318
opt_base,20,3.924852158980325e-09,0.0010183151332736908
opt_base,21,3.5719968959743497e-09,0.0010183187052705868
opt_base,22,6.2910368971133134e-09,0.001018324996307484
opt_base,23,6.200714217709481e-05,0.0010803321384845787
opt_base,24,1.4068399021222864e-05,0.0010944005375058015
opt_base,25,2.6973767143354873e-07,0.001094670275177235
opt_base,26,1.0315655612089543e-08,0.001094680590832847
opt_base,27,0.0002919187138279267,0.0013865993046607737
opt_base,28,4.093268153799403e-05,0.0014275319861987677
opt_base,29,1.548896558560898e-08,0.0014275474751643533
opt_base,30,1.7905420286112756e-08,0.0014275653805846395
opt_base,31,7.197345647206971e-09,0.0014275725779302867
opt_base,32,2.1102139007657847e-08,0.0014275936800692945
opt_base,33,2.1148651556375627e-05,0.0014487423316256701
opt_base,34,1.0597391411713375e-07,0.0014488483055397872
opt_base,35,6.0472092514969094e-05,0.0015093203980547562
opt_base,36,1.191865687565186e-08,0.001509332316711632
opt_base,37,6.527357903757456e-09,0.0015093388440695357
opt_base,38,1.4428124903445507e-08,0.001509353272194439
opt_base,39,1.0075637435996581e-08,0.001509363347831875
opt_base,40,1.9253071954107547e-08,0.0015093826009038292
opt_base,41,4.734044855893829e-05,0.0015567230494627675
opt_base,42,2.7045463839144186e-08,0.0015567500949266067
opt_base,43,1.496085505088607e-08,0.0015567650557816576
