setup,t,turnover
legacy,156,1.0645810502474262e-05
legacy,157,1.6432013635603315e-06
legacy,158,6.879212077759433e-08
legacy,159,0.10766064172299253
legacy,160,0.0004267370496951334
legacy,161,0.00010791526032592758
legacy,162,4.616516255009917e-06
legacy,163,1.0787975963238994e-06
opt_base,1,0.12795990132720098
opt_base,2,1.7049292513338088e-06
opt_base,3,4.930840678485371e-06
opt_base,4,7.991690940234442e-06
opt_base,5,6.220564319464605e-05
opt_base,6,5.701818139469683e-05
opt_base,7,2.031854784312337e-06
opt_base,8,3.700205356671482e-06
opt_base,9,4.7984882822760255e-06
opt_base,10,0.00017163394654839959
opt_base,11,0.028377342610176715
opt_base,12,0.2506403601445403
opt_base,13,1.0794323691387664e-05
opt_base,14,1.993815947953781e-06
opt_base,15,9.562278658337142e-07
opt_base,16,1.7594936724263377e-07
opt_base,17,1.8174745147758742e-07
opt_base,18,1.6639540606488978e-07
opt_base,19,5.467359430744168e-07
opt_base,20,5.152906123462309e-07
opt_base,21,2.730199825107249e-07
opt_base,22,1.649077879417593e-06
opt_base,23,0.024802177296758876
opt_base,24,0.0056266807906176775
opt_base,25,0.00010720716475387526
opt_base,26,3.3422602243593502e-06
opt_base,27,0.11676680571809062
opt_base,28,0.016372393401944407
opt_base,29,5.447598482782867e-06
opt_base,30,6.4223426418930085e-06
opt_base,31,2.0379964555949925e-06
opt_base,32,7.708655779203877e-06
opt_base,33,0.00845878168662445
opt_base,34,4.169529821654305e-05
opt_base,35,0.024188157343887795
opt_base,36,3.9991423415319804e-06
opt_base,37,1.7515683452262731e-06
opt_base,38,5.018839250997553e-06
opt_base,39,3.242855182744586e-06
opt_base,40,6.967991174666732e-06
opt_base,41,0.018935499778917342
opt_base,42,1.0098838449768e-05
opt_base,43,5.232544662087113e-06
opt_base,44,2.0773580811650483e-06
opt_base,45,1.054627336294356e-06
opt_base,46,9.911393370753974e-07
opt_base,47,9.520127983442261e-07
opt_base,48,6.99681514115813e-07
opt_base,49,4.624463303681825e-07
opt_base,50,4.890770811949441e-07
opt_base,51,4.3293202317551405e-07
opt_base,52,2.3590153744312836e-07
opt_base,53,8.471282370026145e-08
opt_base,54,1.806728816555747e-08
opt_base,55,1.881028919015204e-07
opt_base,56,2.3928851369814375e-07
opt_base,57,1.452296225917804e-06
opt_base,58,2.3199702850751347e-06
opt_base,59,3.023616431202525e-06
opt_base,60,1.5178445618990732e-06
opt_base,61,8.843639295597061e-07
opt_base,62,4.7070612571586956e-07
opt_base,63,3.865856376683574e-07
opt_base,64,3.046360280145599e-07
opt_base,65,1.7254996520499333e-07
opt_base,66,2.6125687002664932e-08
opt_base,67,2.5304448772467403e-07
opt_base,68,4.1813261772438715e-07
opt_base,69,7.361566218555549e-07
opt_base,70,1.6901850181105793e-06
opt_base,71,5.762364536504583e-06
opt_base,72,0.01780007416725249
opt_base,73,8.402388408934591e-07
opt_base,74,4.677376429507163e-07
opt_base,75,3.2511856726258337e-07
opt_base,76,4.7177593320846256e-07
opt_base,77,6.179339641643189e-07
opt_base,78,1.3723569780577094e-07
opt_base,79,5.741701191164239e-07
opt_base,80,1.0358042500380193e-06
opt_base,81,1.4446550314628492e-06
opt_base,82,1.3604821353929708e-06
opt_base,83,1.067108669677852e-06
opt_base,84,7.815415392076197e-07
opt_base,85,4.4450238653737095e-07
opt_base,86,2.462868635422222e-07
opt_base,87,2.8786931452473574e-07
opt_base,88,3.0095830794163447e-07
opt_base,89,2.409542034786938e-07
opt_base,90,1.774801425546979e-07
opt_base,91,2.3390383602217568e-07
opt_base,92,2.385172406804692e-07
opt_base,93,1.8463435305648979e-07
opt_base,94,4.983141685399595e-08
opt_base,95,9.504341091925994e-08
opt_base,96,1.7330585336261528e-07
opt_base,97,1.9693550487587252e-07
opt_base,98,2.7089538626179355e-07
opt_base,99,2.586310506869083e-07
opt_base,100,6.023117871678529e-07
opt_base,101,6.072311375671102e-07
opt_base,102,3.638269680805717e-07
opt_base,103,3.356884160365947e-07
opt_base,104,3.1371542505431727e-07
opt_base,105,1.773756841960683e-07
opt_base,106,3.421557057126101e-08
opt_base,107,3.663831349420832e-08
opt_base,108,1.3279727661963392e-07
opt_base,109,1.9373630172347944e-07
opt_base,110,3.8728107160102e-07
opt_base,111,4.789602654209357e-07
opt_base,112,7.566792200042194e-07
opt_base,113,2.128914104726487e-07
opt_base,114,6.305070424095227e-08
opt_base,115,2.8998062118201773e-08
opt_base,116,7.000925911215816e-08
opt_base,117,3.9307643059927067e-07
opt_base,118,4.695640742902185e-07
opt_base,119,0.0428224033910195
opt_base,120,7.784469493926638e-06
opt_base,121,1.5701942480100817e-05
opt_base,122,0.007898502997123441
opt_base,123,1.07203352179841e-05
opt_base,124,3.975950550960672e-06
opt_base,125,0.0108898874455641
opt_base,126,6.328516387293925e-05
opt_base,127,5.558829799606757e-06
opt_base,128,2.923215474209817e-06
opt_base,129,1.837570480334172e-06
opt_base,130,1.2991215266600076e-06
opt_base,131,1.2060003055369695e-06
opt_base,132,8.410262637148502e-07
opt_base,133,5.724691115316372e-07
opt_base,134,3.4983599034310586e-07
opt_base,135,1.8458732778392495e-07
opt_base,136,0.00013543400259571903
opt_base,137,0.000494473626981462
opt_base,138,9.663014936101e-06
opt_base,139,8.985956921780947e-06
opt_base,140,3.337305259643042e-06
opt_base,141,1.740757757662248e-06
opt_base,142,9.237081307067463e-07
opt_base,143,5.827690826853971e-07
opt_base,144,3.569544167469907e-07
opt_base,145,1.9782282748015412e-07
opt_base,146,0.019437149437775192
