asset,setup,t,w
SPX,opt_base,8,0.5640497423364007
SPX,opt_base,9,0.5640521415805418
SPX,opt_base,10,0.564137958553816
SPX,opt_base,11,0.5783266298589044
SPX,opt_base,12,0.7036468099311745
SPX,opt_base,13,0.7036522070930202
SPX,opt_base,14,0.7036532040009942
SPX,opt_base,15,0.7036536821149271
SPX,opt_base,16,0.7036537700896107
SPX,opt_base,17,0.703653679215885
SPX,opt_base,18,0.703653762413588
SPX,opt_base,19,0.7036540357815596
SPX,opt_base,20,0.7036542934268658
SPX,opt_base,21,0.703654429936857
SPX,opt_base,22,0.7036552544757967
SPX,opt_base,23,0.7160563431241762
SPX,opt_base,24,0.718869683519485
SPX,opt_base,25,0.7189232871018619
SPX,opt_base,26,0.7189249582319741
SPX,opt_base,27,0.7773083610910194
SPX,opt_base,28,0.7854945577919916
SPX,opt_base,29,0.785497281591233
SPX,opt_base,30,0.785500492762554
SPX,opt_base,31,0.7855015117607818
SPX,opt_base,32,0.7855053660886714
SPX,opt_base,33,0.7897347569319836
SPX,opt_base,34,0.7897556045810918
SPX,opt_base,35,0.8018496832530357
SPX,opt_base,36,0.8018516828242065
SPX,opt_base,37,0.8018525586083791
SPX,opt_base,38,0.8018550680280047
SPX,opt_base,39,0.801856689455596
SPX,opt_base,40,0.8018601734511833
SPX,opt_base,41,0.811327923340642
SPX,opt_base,42,0.8113329727598668
SPX,opt_base,43,0.8113355890321979
SPX,opt_base,44,0.8113366277112385
SPX,opt_base,45,0.8113371550249067
SPX,opt_base,46,0.8113376505945752
SPX,opt_base,47,0.8113381266009744
SPX,opt_base,48,0.8113384764417314
SPX,opt_base,49,0.8113387076648966
SPX,opt_base,50,0.8113389522034372
SPX,opt_base,51,0.8113391686694488
SPX,opt_base,52,0.8113392866202175
SPX,opt_base,53,0.8113393289766294
SPX,opt_base,54,0.8113393380102735
SPX,opt_base,55,0.8113394320617194
SPX,opt_base,56,0.8113395517059763
SPX,opt_base,57,0.8113402778540891
SPX,opt_base,58,0.8113414378392317
SPX,opt_base,59,0.8113429496474474
SPX,opt_base,60,0.8113437085697283
SPX,opt_base,61,0.8113441507516931
SPX,opt_base,62,0.8113443861047559
SPX,opt_base,63,0.8113445793975748
SPX,opt_base,64,0.8113447317155887
SPX,opt_base,65,0.8113448179905713
SPX,opt_base,66,0.8113448049277279
SPX,opt_base,67,0.811344678405484
SPX,opt_base,68,0.8113444693391751
SPX,opt_base,69,0.8113441012608642
SPX,opt_base,70,0.8113432561683551
SPX,opt_base,71,0.8113403749860869
SPX,opt_base,72,0.8024403379024607
SPX,opt_base,73,0.8024399177830402
SPX,opt_base,74,0.8024396839142187
SPX,opt_base,75,0.8024395213549351
SPX,opt_base,76,0.8024392854669685
SPX,opt_base,77,0.8024389764999864
SPX,opt_base,78,0.8024390451178353
SPX,opt_base,79,0.8024393322028949
