asset,lambda,m,label,t,w
SPX,0.3,0.5,g_mean,113,0.8855128513825691
SPX,0.3,0.5,g_mean,114,0.8855128509205887
SPX,0.3,0.5,g_mean,115,0.8855128527293477
SPX,0.3,0.5,g_mean,116,0.885512857358141
SPX,0.3,0.5,g_mean,117,0.5135275253149575
SPX,0.3,0.5,g_mean,118,0.5135275214021475
SPX,0.3,0.5,g_mean,119,0.5135275244558974
SPX,0.3,0.5,g_mean,120,0.5135275149984988
SPX,0.3,0.5,g_mean,121,0.5135276053338005
SPX,0.3,0.5,g_mean,122,0.5135275676698462
SPX,0.3,0.5,g_mean,123,0.31304286043819946
SPX,0.3,0.5,g_mean,124,0.31304286057009245
SPX,0.3,0.5,g_mean,125,0.3130429884027755
SPX,0.3,0.5,g_mean,126,0.3939217615491776
SPX,0.3,0.5,g_mean,127,0.39392367381328885
SPX,0.3,0.5,g_mean,128,0.39392369840124697
SPX,0.3,0.5,g_mean,129,0.7853332402777798
SPX,0.3,0.5,g_mean,130,0.7853332586566667
SPX,0.3,0.5,g_mean,131,0.785333249010856
SPX,0.3,0.5,g_mean,132,0.7853332441561919
SPX,0.3,0.5,g_mean,133,0.7853332186926149
SPX,0.3,0.5,g_mean,134,0.7853332245967178
SPX,0.3,0.5,g_mean,135,0.7853332419308842
SPX,0.3,0.5,g_mean,136,0.7853332444282287
SPX,0.3,0.5,g_mean,137,0.7853332278150933
SPX,0.3,0.5,g_mean,138,0.7853332157413804
SPX,0.3,0.5,g_mean,139,0.702794051286317
SPX,0.3,0.5,g_mean,140,0.7027940408558453
SPX,0.3,0.5,g_mean,141,0.7027940398699684
SPX,0.3,0.5,g_mean,142,0.5934742869176438
SPX,0.3,0.5,g_mean,143,0.5934742856130621
SPX,0.3,0.5,g_mean,144,0.5934742965201567
SPX,0.3,0.5,g_mean,145,0.5934743000912925
SPX,0.3,0.5,g_mean,146,0.5934743627597816
SPX,0.3,0.5,g_mean,147,0.5934744034079694
SPX,0.3,0.5,g_mean,148,0.5934744329316908
SPX,0.3,0.5,g_mean,149,0.5934744901504557
SPX,0.3,0.5,g_mean,150,0.5934745102262898
SPX,0.3,0.5,g_mean,151,0.5934745364091839
